a,character,columns
182542,87926,182670
182543,87971,182670
182544,88016,182670
182545,88061,182670
182546,88106,182670
182547,88151,182670
182548,88196,182670
182549,88241,182670
182550,88286,182670
182551,41601,182687
182552,41640,182687
182553,41679,182687
182554,41718,182687
182555,41757,182687
182556,41796,182687
182557,41835,182687
182558,41874,182687
182559,41913,182687
182560,41952,182687
182561,41991,182687
182562,42030,182687
182563,42069,182687
182564,42108,182687
182565,42195,182687
182566,42346,182687
182567,42497,182687
182568,42648,182687
182569,42799,182687
182570,42950,182687
182571,43101,182687
182572,43252,182687
182573,43403,182687
182574,43554,182687
182575,43705,182687
182576,43856,182687
182577,44007,182687
182578,44158,182687
182579,95412,182683
182580,95536,182683
182581,95660,182683
182582,95784,182683
182583,95908,182683
182584,96032,182683
182585,44071,182651
182586,44166,182651
182587,44261,182651
182588,44356,182651
182589,44451,182651
182590,44546,182651
182591,44641,182651
182592,44736,182651
182593,44831,182651
182594,44926,182651
182595,46725,182651
182596,95760,182647
182597,48822,182658
182598,48884,182658
182599,48946,182658
182600,49008,182658
182601,49070,182658
182602,49132,182658
182603,49194,182658
182604,49256,182658
182605,49318,182658
182606,49380,182658
182607,49442,182658
182608,49504,182658
182609,49566,182658
182610,49628,182658
182611,99908,182662
182612,99964,182683
182613,99999,182683
182614,100034,182683
182615,100069,182683
182616,100104,182683
182617,100139,182683
182618,100248,182683
182619,100372,182683
182620,100496,182683
182621,100620,182683
182622,100744,182683
182623,100868,182683
182624,100992,182683
182625,101116,182683
182626,101240,182683
182627,101364,182683
182628,101488,182683
182629,101612,182683
182630,101736,182683
182631,101860,182683
182632,101984,182683
182633,102108,182683
182634,102231,182682
182635,102332,182659
182636,53564,182652
182637,53593,182652
182638,53622,182652
182639,53651,182652
182640,53680,182652
182641,53709,182652
182642,53822,182652
182643,53973,182652
182644,54124,182652
182645,54275,182652
182646,54426,182652
182647,54577,182652
182648,54728,182652
182649,54879,182652
182650,55030,182652
182651,55181,182652
182652,55332,182652
182653,55483,182652
182654,55634,182652
182655,55785,182652
182656,55936,182652
182657,56087,182652
182658,106806,182650
182659,106897,182650
182660,106988,182650
182661,107079,182650
182662,107170,182650
182663,107261,182650
182664,107352,182650
182665,107443,182650
182666,107534,182650
182667,107625,182650
182668,107716,182650
182669,107807,182650
182670,107898,182650
182671,107989,182650
182672,108080,182650
182673,108171,182650
182674,110400,182674
182675,110427,182676
182676,110452,182676
182677,110477,182676
182678,110502,182676
182679,110527,182676
182680,110552,182676
182681,110577,182676
182682,110602,182676
182683,110627,182676
182684,110652,182676
182685,110677,182676
182686,110702,182676
182687,110727,182676
182688,110752,182676
182689,110777,182676
182690,63238,182679
182691,63257,182679
182692,63276,182679
182693,63295,182679
182694,63314,182679
182695,63333,182679
182696,63352,182679
182697,63371,182679
182698,63390,182679
182699,63409,182679
182700,63428,182679
182701,63447,182679
182702,63466,182679
182703,63485,182679
182704,63504,182679
182705,63523,182679
182706,63542,182679
182707,63637,182679
182708,63788,182679
182709,63939,182679
182710,64090,182679
182711,64241,182679
182712,64392,182679
182713,64543,182679
182714,64694,182679
182715,64845,182679
182716,64996,182679
182717,65147,182679
182718,65298,182679
182719,65449,182679
182720,65600,182679
182721,65751,182679
182722,65902,182679
182723,66053,182679
182724,113972,182676
182725,50226,182658
182726,50364,182658
182727,50502,182658
182728,50640,182658
182729,50778,182658
182730,50916,182658
182731,67261,182654
182732,67412,182654
182733,67563,182654
182734,67714,182654
182735,67865,182654
182736,68016,182654
182737,68167,182654
182738,68318,182654
182739,68469,182654
182740,68620,182654
182741,68771,182654
182742,68922,182654
182743,69073,182654
182744,69224,182654
182745,123554,182650
182746,123668,182650
182747,123782,182650
182748,123896,182650
182749,124010,182650
182750,124124,182650
182751,124238,182650
182752,124352,182650
182753,124466,182650
182754,124580,182650
182755,124694,182650
182756,124808,182650
182757,124922,182650
182758,125036,182650
182759,125150,182650
182760,125264,182650
182761,125378,182650
182762,125492,182650
182763,125606,182650
182764,125720,182650
182765,125834,182650
182766,125948,182650
182767,126062,182650
182768,126176,182650
182769,126286,182646
182770,74164,182644
182771,74206,182644
182772,74248,182644
182773,74290,182644
182774,74332,182644
182775,74374,182644
182776,74416,182644
182777,74458,182644
182778,74500,182644
182779,74542,182644
182780,74660,182644
182781,127658,182640
182782,127772,182640
182783,127886,182640
182784,128000,182640
182785,128114,182640
182786,128228,182640
182787,128342,182640
182788,128456,182640
182789,76019,182629
182790,76170,182629
182791,76321,182629
182792,76472,182629
182793,76623,182629
