v,count
2087,70200060
2088,83454483
2089,73181952
2090,80967906
2091,73000674
2092,84376248
2093,71055346
2094,84082228
2095,73975466
2096,81772404
2097,74345508
2098,84840918
2099,71564520
2100,85599598
2101,74695416
2102,82668833
2103,74789954
2104,85991308
2105,72834490
2106,85826184
2107,75678978
2108,83724038
2109,75728886
2110,86888210
2111,73037430
2112,87442611
2113,76508896
2114,84310720
2115,76660716
2116,87649194
2117,74437190
2118,87847052
2119,77103356
2120,85783086
2121,77301194
2122,88757794
2123,74739188
2124,89091676
2125,78379086
2126,85999539
2127,78313596
2128,89764203
2129,75822932
2130,89896972
2131,78627032
2132,87596833
2133,79164254
2134,90382332
2135,76665198
2136,90837715
2137,79989972
2138,87987467
2139,79760082
2140,91884234
2141,77323742
2142,91847756
2143,80483796
2144,89140791
2145,81066136
2146,92136166
2147,78271438
2148,92930346
2149,81509744
2150,90086449
2151,81248826
2152,93774751
2153,79119332
2154,93503861
2155,82416578
2156,90943394
2157,82760306
2158,94140552
2159,79682482
2160,95075050
2161,83055878
2162,91945431
2163,83225604
2164,95428772
2165,80959938
2166,95266460
2167,84088480
2168,92987346
2169,84234430
2170,96404021
2171,81199448
2172,96922964
2173,84950934
2174,93534736
2175,85149938
2176,97254107
2177,82683832
2178,97405064
2179,85488376
2180,95101846
2181,85814548
2182,98295206
2183,83073286
2184,98703748
2185,86892148
2186,95215568
2187,86863406
2188,99348281
2189,84136428
2190,99596061
2191,87158912
2192,96987363
2193,87647008
2194,99971530
2195,84985148
2196,100505455
2197,88640844
2198,97365181
2199,88361838
2200,101499058
2201,85644504
2202,101539650
2203,89072484
2204,98638825
2205,89724982
2206,101775432
2207,86585638
2208,102663788
2209,90101032
2210,99556178
2211,89959130
2212,103517662
2213,87547268
2214,103152907
2215,91062912
2216,100401206
2217,91467452
2218,103931612
2219,88109160
2220,104890826
2221,91661008
2222,101434432
2223,91921064
2224,105203620
2225,89502894
2226,105064828
2227,92795272
2228,102464618
2229,92954616
2230,106158492
2231,89663012
2232,106883854
2233,93683702
2234,103095986
2235,93856496
2236,107044078
2237,91192418
2238,107227805
2239,94315788
2240,104743608
2241,94575578
2242,108051528
2243,91585840
2244,108580017
2245,95711512
2246,104871585
2247,95706106
2248,109221722
2249,92572466
2250,109505977
2251,95912746
2252,106656641
2253,96582176
2254,109850471
2255,93564522
2256,110370539
2257,97434052
2258,107012280
2259,97204094
2260,111507797
2261,94260312
2262,111475974
2263,97814314
2264,108315361
2265,98600336
2266,111687554
2267,95310578
2268,112660027
2269,98973052
2270,109140177
2271,98828448
2272,113484768
2273,96180712
2274,113216846
2275,99961150
2276,110118083
2277,100319536
2278,113870425
2279,96739480
2280,114974570
2281,100584330
